param,Evaluation Value,Iw-AUC,Bw-AUC,Iw-TNF,Iw-FPF,Iw-FNF,Bw-TPF,Bw-TNF,Bw-FPF,Bw-FNF
Gaussian:7 3 3 1 softmax relu RMSProp,1.980192518,0.166680493,0.74346568,0.215052186,0.105313898,0.930995606,0.973723484,0.501976185,0.955859853,0.018326617
Gaussian:7 Gaussian:7 Gaussian:7 3 5 3 sigmoid tanh RMSProp,1.98013509,0.066730346,0.404327256,0.507134889,0.101335913,0.332270896,0.015884278,0.45422125,0.731068042,0.668834767
Gaussian:7 Gaussian:7 3 7 1 relu sigmoid AdaGrad,1.980120529,0.859896874,0.783689221,0.661641284,0.997263665,0.157846348,0.989622193,0.98337787,0.546469273,0.591341714
Gaussian:7 Gaussian:7 5 7 1 tanh relu RMSProp,1.979628347,0.916425277,0.417815966,0.99160765,0.553638952,0.957963482,0.85884208,0.905065482,0.185707565,0.819395075
Gaussian:7 Gaussian:7 Gaussian:7 9 7 3 relu relu Adam,1.979050177,0.345776298,0.168352982,0.733708194,0.277881815,0.685963284,0.958382688,0.14714525,0.761686499,0.129905851
Gaussian:7 7 7 1 softmax relu AdaGrad,1.978502531,0.525823869,0.312916334,0.648468615,0.013990901,0.82073737,0.302999382,0.685013266,0.647873563,0.030078501
Gaussian:7 Gaussian:7 Gaussian:7 9 7 3 sigmoid relu RMSProp,1.978443967,0.200876224,0.669688435,0.436469852,0.826493786,0.725641111,0.774735339,0.037752475,0.257485626,0.230393092
Gaussian:7 Gaussian:7 Gaussian:7 5 7 1 softmax sigmoid Adam,1.976718597,0.01995891,0.268826298,0.057188082,0.189217002,0.061794257,0.350880304,0.337983937,0.244981384,0.741161856
Gaussian:7 Gaussian:7 Gaussian:7 5 3 5 softmax sigmoid Adam,1.975731779,0.127165053,0.7529256,0.539127953,0.028019859,0.330277464,0.77689685,0.257043821,0.855917714,0.867871876
Gaussian:7 9 9 3 tanh sigmoid Adam,1.975414311,0.227701251,0.520214941,0.535461407,0.397518881,0.015271409,0.605535545,0.138947565,0.722613704,0.404253182
Gaussian:7 Gaussian:7 Gaussian:7 7 5 5 relu relu Adam,1.974649133,0.358309051,0.16806029,0.448728689,0.373251225,0.468371007,0.241900987,0.258598096,0.445172025,0.78495439
Gaussian:7 Gaussian:7 Gaussian:7 3 5 5 relu softmax RMSProp,1.974330276,0.20909887,0.510621802,0.388837382,0.474491615,0.287329574,0.89953465,0.071247392,0.153937364,0.453008655
Gaussian:7 Gaussian:7 5 3 3 relu relu AdaGrad,1.972658778,0.527967067,0.019264554,0.512836777,0.598006012,0.291408881,0.779971905,0.886206464,0.211321999,0.30724323
Gaussian:7 Gaussian:7 Gaussian:7 7 5 1 sigmoid relu Adam,1.971019601,0.458061422,0.208114058,0.728338794,0.427122238,0.678904884,0.079225538,0.178210335,0.743369094,0.852929294
Gaussian:7 Gaussian:7 3 3 5 softmax tanh Adam,1.970809249,0.795644436,0.907873704,0.317942616,0.939962296,0.652819326,0.302878501,0.870810425,0.942808911,0.649377209
Gaussian:7 5 5 5 relu softmax AdaGrad,1.969475519,0.385272338,0.063785486,0.830220941,0.108730116,0.628456643,0.997243185,0.376189825,0.596284914,0.71148278
Gaussian:7 7 3 1 tanh sigmoid RMSProp,1.968543498,0.366088014,0.273561895,0.877848797,0.584106996,0.573578721,0.516720566,0.181611943,0.426382016,0.993056469
Gaussian:7 Gaussian:7 7 9 3 relu softmax RMSProp,1.96850239,0.654135203,0.958633545,0.504535078,0.539472799,0.964405195,0.512921514,0.775814879,0.862277919,0.322608233
Gaussian:7 Gaussian:7 7 3 3 tanh tanh AdaGrad,1.968173689,0.815296089,0.981818648,0.396869918,0.087240266,0.930380733,0.036068864,0.612797307,0.812940434,0.221423954
Gaussian:7 Gaussian:7 Gaussian:7 5 9 3 relu relu RMSProp,1.968052016,0.117170076,0.341881442,0.018447197,0.806705366,0.935316921,0.08651304,0.068717582,0.603798831,0.665787261
Gaussian:7 3 3 5 sigmoid sigmoid Adam,1.967494757,0.938931915,0.887813162,0.788256348,0.390596186,0.749377061,0.914879066,0.381230374,0.862331798,0.340045592
Gaussian:7 Gaussian:7 Gaussian:7 7 7 5 softmax relu RMSProp,1.96674079,0.308598697,0.489653533,0.521479052,0.956678568,0.166440738,0.452398654,0.792350779,0.935726158,0.455358705
Gaussian:7 9 7 1 sigmoid sigmoid RMSProp,1.96657726,0.239626043,0.955555961,0.365591747,0.069195498,0.695270546,0.521778057,0.111176964,0.474800882,0.70535274
Gaussian:7 5 3 3 softmax sigmoid RMSProp,1.964553715,0.23102928,0.532013411,0.975496077,0.945506304,0.645230312,0.879496594,0.350567573,0.580847586,0.272817515
Gaussian:7 Gaussian:7 7 9 5 softmax sigmoid AdaGrad,1.963767835,0.108656437,0.080954393,0.174832337,0.314014581,0.974999553,0.603668303,0.304558149,0.788091626,0.069054814
Gaussian:7 7 9 1 softmax relu RMSProp,1.963712621,0.860802636,0.497511876,0.530148394,0.404490683,0.907361382,0.742598742,0.74788437,0.801198397,0.628934445
Gaussian:7 Gaussian:7 5 7 1 tanh softmax RMSProp,1.963150312,0.660544641,0.407985302,0.743024291,0.834152441,0.303690091,0.872722198,0.157825337,0.752092791,0.884807787
Gaussian:7 Gaussian:7 9 5 3 tanh relu RMSProp,1.963078475,0.214689643,0.406808225,0.476514123,0.832649837,0.08809696,0.356552296,0.648474446,0.623127494,0.510845233
Gaussian:7 Gaussian:7 Gaussian:7 7 7 3 softmax tanh AdaGrad,1.961417957,0.556682297,0.743572871,0.713041572,0.880854038,0.632763593,0.622191851,0.22809737,0.095097571,0.433375435
Gaussian:7 Gaussian:7 9 3 5 softmax sigmoid Adam,1.960582428,0.911502209,0.788745739,0.801064048,0.764286443,0.030081372,0.31228054,0.9208485,0.45746913,0.071324306
Gaussian:7 Gaussian:7 Gaussian:7 9 5 1 softmax relu AdaGrad,1.960060738,0.858811371,0.221867228,0.867070043,0.1789573,0.907893799,0.811924319,0.991056956,0.257120632,0.269845569
Gaussian:7 5 5 5 sigmoid relu AdaGrad,1.959908602,0.846156237,0.624581294,0.226449843,0.765822159,0.38094607,0.531329429,0.888718401,0.535975445,0.440100083
Gaussian:7 7 9 5 relu sigmoid Adam,1.95957734,0.936582035,0.443690957,0.360958161,0.84922338,0.121636133,0.691493445,0.646662138,0.211641203,0.747554844
Gaussian:7 Gaussian:7 Gaussian:7 9 3 3 sigmoid sigmoid RMSProp,1.959373102,0.213181944,0.374751479,0.72645878,0.331922395,0.815703586,0.234903443,0.927634478,0.221808227,0.93843201
Gaussian:7 Gaussian:7 9 7 1 relu relu Adam,1.958928606,0.467622362,0.350168884,0.011626248,0.081896538,0.681537024,0.100633238,0.842563637,0.133348861,0.631849296
Gaussian:7 9 9 3 relu relu RMSProp,1.958788923,0.481897041,0.643154215,0.302411016,0.508354471,0.037865705,0.427417567,0.359354841,0.690458539,0.617542083
Gaussian:7 Gaussian:7 Gaussian:7 9 3 3 sigmoid softmax RMSProp,1.957849205,0.011995915,0.420132218,0.467749355,0.819199755,0.464023049,0.00368096,0.390179978,0.965805935,0.451157722
Gaussian:7 Gaussian:7 Gaussian:7 5 7 3 softmax softmax AdaGrad,1.955796448,0.371322121,0.133740954,0.670926247,0.319018308,0.185880651,0.812405567,0.070846801,0.987096745,0.701886616
Gaussian:7 9 7 1 relu tanh Adam,1.955411158,0.324474965,0.228257195,0.316081688,0.538712116,0.608046707,0.914610359,0.789088755,0.350485601,0.010275925
Gaussian:7 Gaussian:7 Gaussian:7 7 3 5 tanh tanh AdaGrad,1.949482987,0.329350031,0.354506702,0.299797252,0.60246151,0.462485245,0.517843486,0.607166682,0.329589504,0.71789269
Gaussian:7 3 7 1 softmax sigmoid RMSProp,1.948459369,0.912677976,0.906171494,0.026481115,0.254786183,0.842025204,0.646192081,0.473707682,0.035314138,0.868009679
Gaussian:7 Gaussian:7 7 5 5 softmax tanh AdaGrad,1.948452757,0.867270161,0.703298488,0.038049945,0.669032977,0.849564496,0.209024198,0.703951771,0.414445316,0.720372414
Gaussian:7 Gaussian:7 7 5 1 softmax relu AdaGrad,1.948005996,0.485101627,0.85577112,0.587962327,0.623049306,0.130692388,0.33355705,0.904623355,0.864737378,0.56221408
Gaussian:7 Gaussian:7 3 3 3 tanh tanh AdaGrad,1.946229127,0.493001927,0.816968301,0.764100407,0.416285266,0.928588396,0.94728186,0.91304221,0.414383457,0.109475743
Gaussian:7 Gaussian:7 7 3 1 relu sigmoid RMSProp,1.945674974,0.36294148,0.038445063,0.55810005,0.319034389,0.10945744,0.665526211,0.563060659,0.478384982,0.084230883
Gaussian:7 Gaussian:7 7 3 3 sigmoid softmax Adam,1.945167831,0.602476306,0.051357353,0.005304359,0.817987606,0.758388236,0.545641287,0.156201203,0.574684933,0.412223437
Gaussian:7 Gaussian:7 Gaussian:7 9 3 5 softmax sigmoid RMSProp,1.944540294,0.453766045,0.537504114,0.637207162,0.054998433,0.263078487,0.507757319,0.063324827,0.506304412,0.191815709
Gaussian:7 Gaussian:7 3 7 3 relu softmax Adam,1.943742644,0.305081115,0.015545686,0.467298607,0.810004741,0.640697008,0.704596714,0.800118802,0.745999412,0.396338764
Gaussian:7 9 5 5 softmax relu AdaGrad,1.943530539,0.711317177,0.729328631,0.620302102,0.47619769,0.408978264,0.975037595,0.419970034,0.643668669,0.348254388
Gaussian:7 Gaussian:7 Gaussian:7 9 9 1 sigmoid sigmoid RMSProp,1.942967074,0.995513509,0.838685354,0.321631545,0.550812132,0.237536354,0.162186008,0.949768525,0.786992479,0.673927192
Gaussian:7 Gaussian:7 Gaussian:7 9 5 1 relu relu RMSProp,1.942853219,0.097528908,0.219276341,0.663660057,0.83851354,0.085093773,0.579873358,0.163486605,0.186755838,0.868394229
Gaussian:7 Gaussian:7 5 7 3 sigmoid tanh AdaGrad,1.941684001,0.70292181,0.184029472,0.65410572,0.746301539,0.013099148,0.282660439,0.752264348,0.148140382,0.941794245
Gaussian:7 Gaussian:7 7 9 5 softmax tanh AdaGrad,1.941549848,0.07604283,0.255611122,0.671422949,0.264949191,0.272296416,0.753620434,0.957703562,0.307830595,0.324183529
Gaussian:7 5 5 5 tanh softmax AdaGrad,1.941262471,0.870106169,0.975277091,0.790486663,0.205866009,0.470439864,0.343258377,0.77028838,0.015605434,0.246875187
Gaussian:7 Gaussian:7 5 3 3 softmax softmax AdaGrad,1.93761995,0.178940161,0.941972561,0.42063155,0.696587568,0.290756534,0.128256555,0.885512039,0.969302368,0.770526532
Gaussian:7 Gaussian:7 Gaussian:7 3 3 1 relu sigmoid RMSProp,1.937617429,0.280901738,0.611461765,0.397990749,0.182450526,0.851414499,0.574889347,0.050853885,0.284520056,0.940382906
Gaussian:7 5 9 5 softmax relu Adam,1.937479871,0.132023638,0.802157084,0.432074247,0.88986759,0.612312669,0.406863363,0.322400526,0.40035572,0.317437324
Gaussian:7 Gaussian:7 Gaussian:7 7 3 5 relu tanh RMSProp,1.937260598,0.011256705,0.28692923,0.995139671,0.992529811,0.95137646,0.062170508,0.471795972,0.39364224,0.63799597
Gaussian:7 5 5 1 softmax relu RMSProp,1.93634536,0.879490761,0.762848434,0.653881752,0.738735708,0.232707447,0.803857384,0.249682684,0.67339467,0.481882221
Gaussian:7 9 5 5 sigmoid softmax Adam,1.9360971,0.439910845,0.731639842,0.337318355,0.64080776,0.456584076,0.330267381,0.432531303,0.405226251,0.249291283
Gaussian:7 Gaussian:7 7 5 5 tanh relu Adam,1.936033891,0.625841684,0.981994723,0.095554689,0.282435934,0.497370699,0.034596667,0.792160726,0.169335821,0.550541428
Gaussian:7 Gaussian:7 Gaussian:7 9 5 1 tanh softmax Adam,1.935825345,0.149815075,0.204029939,0.230258606,0.038542433,0.279892128,0.346339263,0.163465457,0.965334573,0.011072666
Gaussian:7 Gaussian:7 5 9 1 softmax tanh AdaGrad,1.935530014,0.708798703,0.626999902,0.336015868,0.784431256,0.056033112,0.501064037,0.958013235,0.245984971,0.019914527
Gaussian:7 5 9 1 relu sigmoid Adam,1.935270292,0.23890946,0.296958267,0.164309067,0.388749981,0.240339533,0.616389935,0.001144536,0.804412743,0.46338429
Gaussian:7 Gaussian:7 Gaussian:7 9 3 1 relu sigmoid Adam,1.934811957,0.372482932,0.25774386,0.196549953,0.254344149,0.778704024,0.142366016,0.810365045,0.76041747,0.608037073
Gaussian:7 Gaussian:7 Gaussian:7 7 9 1 tanh relu AdaGrad,1.934526965,0.650527618,0.101601652,0.982249422,0.764396688,0.165656616,0.75961462,0.842152704,0.666338288,0.51696179
Gaussian:7 7 9 3 softmax softmax RMSProp,1.934256771,0.516501142,0.020656582,0.304297477,0.266516943,0.648363774,0.855598998,0.805648995,0.095096578,0.75220177
Gaussian:7 7 7 1 sigmoid relu Adam,1.933967858,0.403304298,0.346806816,0.120175128,0.417004704,0.11163446,0.715299979,0.811317733,0.995032395,0.227886199
Gaussian:7 Gaussian:7 Gaussian:7 9 5 3 sigmoid softmax AdaGrad,1.933696566,0.887402375,0.106223899,0.161945352,0.678801831,0.863082881,0.80884109,0.833641333,0.099928393,0.749073365
Gaussian:7 Gaussian:7 Gaussian:7 7 9 1 sigmoid relu RMSProp,1.933647598,0.428954405,0.393233858,0.22538141,0.078047568,0.679349282,0.122319936,0.069118393,0.843862388,0.440565802
Gaussian:7 7 5 1 sigmoid softmax Adam,1.933549458,0.97480668,0.009489052,0.01312178,0.243804343,0.79440849,0.865748841,0.820260106,0.00383819,0.989724712
Gaussian:7 Gaussian:7 9 7 3 relu relu RMSProp,1.932288983,0.791259026,0.799099222,0.13226072,0.3194593,0.82923119,0.145272695,0.716205961,0.042575989,0.680075566
Gaussian:7 7 5 1 relu sigmoid Adam,1.931767494,0.042990707,0.458623105,0.520398453,0.905376793,0.059441002,0.739843981,0.965828518,0.827190518,0.362707988
Gaussian:7 Gaussian:7 9 9 1 tanh sigmoid AdaGrad,1.931584993,0.20889484,0.034397751,0.740005357,0.891791682,0.862225363,0.366015336,0.537093785,0.603862115,0.118454099
Gaussian:7 7 9 5 softmax sigmoid RMSProp,1.929743143,0.00257162,0.115466996,0.358240036,0.735515339,0.678691104,0.299387302,0.864201813,0.092635583,0.604642424
Gaussian:7 Gaussian:7 9 9 5 sigmoid tanh AdaGrad,1.929503225,0.025317592,0.186295229,0.127036004,0.606706499,0.651484795,0.878138048,0.630259896,0.961069224,0.842105424
Gaussian:7 Gaussian:7 Gaussian:7 5 5 1 tanh relu Adam,1.929418048,0.1868105,0.395789343,0.65316772,0.27900389,0.29310508,0.664071597,0.489352915,0.908587573,0.605163402
Gaussian:7 Gaussian:7 9 9 3 relu tanh RMSProp,1.928854446,0.641055681,0.968711583,0.339848411,0.498028729,0.872331125,0.897728957,0.758440786,0.9792664,0.679050946
Gaussian:7 Gaussian:7 Gaussian:7 5 3 3 relu tanh AdaGrad,1.928738705,0.875761513,0.821509361,0.097498534,0.964647151,0.549996351,0.039859223,0.636523529,0.603123626,0.020691502
Gaussian:7 Gaussian:7 Gaussian:7 5 3 1 tanh softmax AdaGrad,1.928491585,0.380149812,0.520651009,0.488529071,0.062093432,0.196488276,0.43292615,0.423875956,0.359794064,0.801663926
Gaussian:7 3 5 1 sigmoid tanh Adam,1.928348426,0.601199885,0.739618403,0.307357789,0.263112521,0.603484358,0.567563732,0.939265521,0.878381965,0.998581699
Gaussian:7 Gaussian:7 9 7 5 softmax relu AdaGrad,1.927274016,0.11501498,0.295861922,0.605646563,0.243163345,0.64532117,0.924501229,0.223532126,0.293060755,0.461328993
Gaussian:7 Gaussian:7 7 3 3 tanh relu Adam,1.926041707,0.6707353,0.699916617,0.038687566,0.22063848,0.15080939,0.132980678,0.812241125,0.581570856,0.077359141
Gaussian:7 7 9 3 softmax relu Adam,1.925752585,0.699349644,0.827632583,0.319394425,0.889107943,0.058281892,0.286445716,0.253185891,0.786445212,0.700813358
Gaussian:7 Gaussian:7 Gaussian:7 5 5 3 tanh sigmoid AdaGrad,1.925534508,0.470824459,0.362915293,0.02427442,0.874625469,0.050118185,0.397480357,0.388435795,0.76699681,0.742094031
Gaussian:7 Gaussian:7 5 9 1 sigmoid relu AdaGrad,1.922767002,0.638875552,0.624992912,0.916127466,0.152814047,0.069602637,0.673213727,0.433321572,0.382266795,0.417660532
Gaussian:7 Gaussian:7 3 3 1 relu tanh RMSProp,1.922402352,0.362033639,0.582463955,0.9618042,0.428476721,0.472804837,0.039641907,0.127217912,0.487263452,0.571970663
Gaussian:7 Gaussian:7 3 3 5 sigmoid tanh AdaGrad,1.922350801,0.696068529,0.182662363,0.107751853,0.959910536,0.024958418,0.787050795,0.658277248,0.205844905,0.025624091
Gaussian:7 9 3 5 tanh sigmoid Adam,1.922144486,0.951107862,0.94084251,0.038725816,0.644133205,0.982261217,0.65539193,0.015774177,0.966636298,0.247208341
Gaussian:7 Gaussian:7 Gaussian:7 7 7 5 relu softmax Adam,1.922042044,0.705825513,0.572650214,0.464582157,0.081038319,0.073955895,0.303284745,0.252817704,0.058558289,0.235174666
Gaussian:7 Gaussian:7 Gaussian:7 9 5 3 tanh tanh Adam,1.921590134,0.937006709,0.699689477,0.527865855,0.519946941,0.318212858,0.274621585,0.804582497,0.921194697,0.605316611
Gaussian:7 Gaussian:7 5 3 3 tanh relu Adam,1.919246419,0.027919909,0.414087215,0.037034259,0.597214023,0.130438364,0.500386238,0.648784741,0.583681514,0.842706203
Gaussian:7 Gaussian:7 7 9 1 tanh tanh RMSProp,1.918177986,0.646448791,0.081989656,0.098940294,0.983955402,0.973413038,0.066647425,0.074064867,0.567008426,0.156001319
Gaussian:7 Gaussian:7 5 9 5 relu softmax AdaGrad,1.917890091,0.125106499,0.076657359,0.435669706,0.779710344,0.148410981,0.339665749,0.705307719,0.725083127,0.605067004
Gaussian:7 5 5 5 relu tanh AdaGrad,1.917135455,0.314950743,0.963216995,0.620595727,0.3119817,0.999711509,0.025435633,0.139106565,0.442675417,0.148405664
Gaussian:7 Gaussian:7 Gaussian:7 9 7 3 relu sigmoid RMSProp,1.917106084,0.57075757,0.633087363,0.40416767,0.934457482,0.542539623,0.008140543,0.741452606,0.916743925,0.717373088
Gaussian:7 Gaussian:7 Gaussian:7 3 7 5 relu sigmoid Adam,1.916695983,0.271752414,0.998167588,0.556082221,0.615287802,0.08658336,0.409094358,0.774063916,0.086537957,0.29020625
Gaussian:7 Gaussian:7 Gaussian:7 3 7 5 softmax sigmoid Adam,1.915954882,0.603479336,0.837803019,0.642564471,0.990799765,0.774773344,0.920737507,0.558072581,0.674514095,0.166231817
Gaussian:7 5 7 3 sigmoid softmax Adam,1.915795318,0.775023376,0.602161844,0.089412068,0.323165394,0.83026497,0.700976058,0.280515048,0.636151996,0.378709895
Gaussian:7 Gaussian:7 Gaussian:7 7 3 3 sigmoid sigmoid Adam,1.915427133,0.063656011,0.55886713,0.672287164,0.125653518,0.134008195,0.113141302,0.126768552,0.785646476,0.19345438
Gaussian:7 Gaussian:7 Gaussian:7 5 7 3 relu sigmoid Adam,1.911890143,0.286191744,0.777909739,0.572920562,0.874632063,0.580668445,0.092416689,0.947062667,0.78064727,0.929987439
Gaussian:7 Gaussian:7 3 5 1 relu relu Adam,1.910139448,0.95085372,0.489176443,0.371300202,0.01415207,0.166549146,0.829826333,0.805773376,0.562206564,0.417677501
Gaussian:7 5 3 1 tanh sigmoid RMSProp,1.910077865,0.035223655,0.4276468,0.788530957,0.426923362,0.253317811,0.645496241,0.410067982,0.597139797,0.139681204
Gaussian:7 7 7 5 sigmoid softmax RMSProp,1.908980224,0.754535879,0.12000069,0.52926321,0.699505759,0.484438626,0.202601737,0.394757562,0.728416117,0.197309679
Gaussian:7 5 3 3 softmax softmax AdaGrad,1.907615969,0.384431072,0.514056253,0.644434647,0.198188625,0.105709137,0.514482899,0.187132025,0.403197945,0.620754336
Gaussian:7 Gaussian:7 Gaussian:7 9 9 5 sigmoid sigmoid RMSProp,1.906168094,0.335413217,0.213958252,0.958937399,0.38346402,0.720090288,0.732846063,0.995651285,0.318666136,0.447097321
Gaussian:7 Gaussian:7 Gaussian:7 5 5 5 tanh softmax RMSProp,1.906030424,0.309108898,0.582183322,0.087529587,0.206204697,0.47449456,0.62686188,0.79321882,0.154134637,0.983896701
Gaussian:7 5 9 5 softmax softmax AdaGrad,1.905760689,0.405971756,0.576921572,0.10903936,0.360776131,0.893656446,0.069634045,0.594319376,0.548978073,0.464463987
Gaussian:7 Gaussian:7 Gaussian:7 7 5 3 relu sigmoid AdaGrad,1.905689262,0.608475492,0.768190653,0.029199588,0.869203274,0.384019966,0.498504131,0.63024656,0.546225731,0.967811934
Gaussian:7 Gaussian:7 Gaussian:7 3 3 5 sigmoid sigmoid Adam,1.904814939,0.549549393,0.022492834,0.048821398,0.097164183,0.656130017,0.907566532,0.65432477,0.253622844,0.849918875
Gaussian:7 9 3 5 sigmoid softmax AdaGrad,1.904300261,0.789399758,0.394212901,0.926798307,0.120332095,0.0077613,0.157513421,0.52519225,0.896534021,0.46071119
Gaussian:7 9 7 5 relu tanh AdaGrad,1.902493607,0.11356445,0.034151456,0.644304703,0.573728064,0.598726103,0.129675861,0.897835895,0.524444858,0.56724971
Gaussian:7 3 3 1 relu sigmoid RMSProp,1.901810239,0.618893295,0.957834586,0.439061182,0.193031362,0.992157958,0.43551418,0.291426915,0.033920862,0.511519475
Gaussian:7 Gaussian:7 7 9 5 relu tanh AdaGrad,1.901644164,0.373110472,0.594924239,0.381820029,0.413292807,0.750866559,0.937172672,0.287458665,0.670765797,0.083454458
Gaussian:7 Gaussian:7 3 5 1 relu sigmoid AdaGrad,1.901471513,0.31626347,0.69386279,0.236268494,0.491129866,0.112230157,0.076041927,0.979215145,0.505781458,0.910241478
Gaussian:7 Gaussian:7 7 7 1 softmax sigmoid RMSProp,1.900431393,0.794659666,0.279183945,0.351278385,0.555017875,0.49484862,0.898593733,0.960842362,0.906502046,0.782261466
Gaussian:7 Gaussian:7 7 3 1 tanh sigmoid AdaGrad,1.900233014,0.54662553,0.919635957,0.255659897,0.474827104,0.825074799,0.651455404,0.662760131,0.587202165,0.977925006
Gaussian:7 7 3 3 relu relu Adam,1.898121576,0.555490603,0.390195679,0.805481392,0.066129819,0.659794362,0.405579799,0.373466192,0.871553218,0.045508094
Gaussian:7 Gaussian:7 Gaussian:7 7 9 1 relu softmax AdaGrad,1.896879681,0.855784078,0.639763043,0.643988216,0.584870579,0.050364784,0.527885817,0.416339815,0.725537705,0.386202873
Gaussian:7 7 9 5 relu tanh RMSProp,1.896331544,0.225617754,0.079166388,0.927388785,0.422607746,0.187001334,0.928398347,0.992218837,0.282598075,0.337626762
Gaussian:7 Gaussian:7 3 7 5 relu sigmoid AdaGrad,1.896264652,0.701905213,0.569571188,0.944412308,0.2437986,0.598183948,0.907835543,0.662261303,0.000406759,0.600072443
Gaussian:7 9 9 1 softmax relu AdaGrad,1.895022375,0.078550786,0.851568752,0.545748028,0.686500924,0.549158845,0.613285247,0.057700997,0.045121156,0.411260726
Gaussian:7 Gaussian:7 Gaussian:7 9 9 3 sigmoid tanh AdaGrad,1.894795994,0.097730632,0.322872032,0.79108279,0.275844778,0.810368068,0.172009465,0.757286358,0.856260952,0.798412017
