CONS_NO,DATA_DATE,KWH
1,2015/8/27,4.9
1,2015/8/28,3.85
1,2015/8/29,4.12
1,2015/8/30,4.39
1,2015/8/31,4.68
1,2015/9/1,4.15
1,2015/9/2,3.83
1,2015/9/3,4.99
1,2015/9/4,3.95
1,2015/9/5,3.56
1,2015/9/6,4.11
1,2015/9/7,3.56
1,2015/9/8,2.93
1,2015/9/9,3.67
1,2015/9/10,4.14
1,2015/9/11,3.67
1,2015/9/12,4.02
1,2015/9/13,4.71
1,2015/9/14,3
1,2015/9/15,3.64
1,2015/9/16,4.44
1,2015/9/17,4.95
1,2015/9/18,4.78
1,2015/9/19,4.48
1,2015/9/20,5.3
1,2015/9/21,2.85
1,2015/9/22,3.1
1,2015/9/23,1.95
1,2015/9/24,2.48
1,2015/9/25,2.83
1,2015/9/26,3.88
1,2015/9/27,3.45
1,2015/9/28,2.49
1,2015/9/29,2.36
1,2015/9/30,3.15
1,2015/10/1,2.38
1,2015/10/2,1.84
1,2015/10/3,2.9
1,2015/10/4,1.66
1,2015/10/5,2.86
1,2015/10/6,1.86
1,2015/10/7,3.34
1,2015/10/8,2.57
1,2015/10/9,2.37
1,2015/10/10,2.49
1,2015/10/11,3.69
1,2015/10/12,4.27
1,2015/10/13,5.03
1,2015/10/14,5.46
1,2015/10/15,3.66
1,2015/10/16,3.89
1,2015/10/17,4.67
1,2015/10/18,2.31
1,2015/10/19,2.24
1,2015/10/20,3.46
1,2015/10/21,2.39
1,2015/10/22,1.44
1,2015/10/23,2.49
1,2015/10/24,3.82
1,2015/10/25,3.71
1,2015/10/26,2.96
1,2015/10/27,2.24
1,2015/10/28,2.37
1,2015/10/29,1.95
1,2015/10/30,3.21
1,2015/10/31,3.33
1,2015/11/1,2.68
1,2015/11/2,3.12
1,2015/11/3,2.19
1,2015/11/4,4.18
1,2015/11/5,2.92
1,2015/11/6,3.67
1,2015/11/7,3.6
1,2015/11/8,4.78
1,2015/11/9,3.67
1,2015/11/10,2.89
1,2015/11/11,3.92
1,2015/11/12,3.64
1,2015/11/13,1.75
1,2015/11/14,6.65
1,2015/11/15,4.09
1,2015/11/16,3.82
1,2015/11/17,3.16
1,2015/11/18,3.42
1,2015/11/19,2.5
1,2015/11/20,2.72
1,2015/11/21,2.91
1,2015/11/22,2.6
1,2015/11/23,2.96
1,2015/11/24,3.94
1,2015/11/25,3.21
1,2015/11/26,4.47
1,2015/11/27,4.08
1,2015/11/28,3.48
1,2015/11/29,4.66
1,2015/11/30,2.42
1,2015/12/1,1.99
1,2015/12/2,2.91
1,2015/12/3,3.37
1,2015/12/4,3.65
1,2015/12/5,3.19
1,2015/12/6,4
1,2015/12/7,2.13
1,2015/12/8,2.62
1,2015/12/9,2.72
1,2015/12/10,3.46
1,2015/12/11,2.45
1,2015/12/12,2.11
1,2015/12/13,2.69
1,2015/12/14,2.7
1,2015/12/15,3.05
1,2015/12/16,3.32
1,2015/12/17,2.83
1,2015/12/18,3.21
1,2015/12/19,3.5
1,2015/12/20,3.6
1,2015/12/21,2.37
1,2015/12/22,2.31
1,2015/12/23,1.88
1,2015/12/24,2.49
1,2015/12/25,4.81
1,2015/12/26,2.99
1,2015/12/27,4.38
1,2015/12/28,4.03
1,2015/12/29,3.78
1,2015/12/30,2.65
1,2015/12/31,3.04
1,2016/1/1,2.92
1,2016/1/2,4.66
1,2016/1/3,5.21
1,2016/1/4,4.77
1,2016/1/5,3.46
1,2016/1/6,4.01
1,2016/1/7,2.48
1,2016/1/8,1.5
1,2016/1/9,2.41
1,2016/1/10,3.03
1,2016/1/11,2.33
1,2016/1/12,2.18
1,2016/1/13,2.03
1,2016/1/14,2.22
1,2016/1/15,1.82
1,2016/1/16,2.6
1,2016/1/17,2.32
1,2016/1/18,2.24
1,2016/1/19,2.01
1,2016/1/20,2.42
1,2016/1/21,3.04
1,2016/1/22,2.41
1,2016/1/23,3.49
1,2016/1/24,2.61
1,2016/1/25,2.15
1,2016/1/26,1.73
1,2016/1/27,1.92
1,2016/1/28,2.53
1,2016/1/29,2.14
1,2016/1/30,3.98
1,2016/1/31,3.59
1,2016/2/1,2.72
1,2016/2/2,5.19
1,2016/2/3,2
1,2016/2/4,2.73
1,2016/2/5,3.05
1,2016/2/6,2.41
1,2016/2/7,5.16
1,2016/2/8,2.84
1,2016/2/9,2.72
1,2016/2/10,0
1,2016/2/11,0
1,2016/2/12,1.74
1,2016/2/13,2.72
1,2016/2/14,2.4
1,2016/2/15,2.46
1,2016/2/16,5.5
1,2016/2/17,2.36
1,2016/2/18,1.57
1,2016/2/19,1.35
1,2016/2/20,1.76
1,2016/2/21,2.27
1,2016/2/22,2.34
1,2016/2/23,4.87
1,2016/2/24,4.18
1,2016/2/25,2.05
1,2016/2/26,3.17
1,2016/2/27,2.2
1,2016/2/28,2.19
1,2016/2/29,3.33
1,2016/3/1,2.23
1,2016/3/2,3.34
1,2016/3/3,2.58
1,2016/3/4,3.08
1,2016/3/5,3.92
1,2016/3/6,4.02
1,2016/3/7,2.66
1,2016/3/8,2.84
1,2016/3/9,3.42
1,2016/3/10,2.6
1,2016/3/11,3.23
1,2016/3/12,2.41
1,2016/3/13,2.75
1,2016/3/14,3.62
1,2016/3/15,3.29
1,2016/3/16,2.52
1,2016/3/17,4.08
1,2016/3/18,3.78
1,2016/3/19,2.33
1,2016/3/20,3.17
1,2016/3/21,3.54
1,2016/3/22,2.79
1,2016/3/23,2.65
1,2016/3/24,2.72
1,2016/3/25,2.71
1,2016/3/26,2.93
1,2016/3/27,2.4
1,2016/3/28,2.35
1,2016/3/29,3.07
1,2016/3/30,4.01
1,2016/3/31,3.44
1,2016/4/1,2.96
1,2016/4/2,3.58
1,2016/4/3,3.28
1,2016/4/4,2.84
1,2016/4/5,2.76
1,2016/4/6,2.92
1,2016/4/7,2.47
1,2016/4/8,2.69
1,2016/4/9,2.62
1,2016/4/10,2.43
1,2016/4/11,3.09
1,2016/4/12,2.84
1,2016/4/13,2.85
1,2016/4/14,2.81
1,2016/4/15,2.97
1,2016/4/16,3.31
1,2016/4/17,3.01
1,2016/4/18,2.19
1,2016/4/19,2.42
1,2016/4/20,2.89
1,2016/4/21,2.13
1,2016/4/22,2.47
1,2016/4/23,3.14
1,2016/4/24,2.68
1,2016/4/25,3.15
1,2016/4/26,2.78
1,2016/4/27,3.49
1,2016/4/28,2.34
1,2016/4/29,3.48
1,2016/4/30,2.15
1,2016/5/1,2.6
1,2016/5/2,2.04
1,2016/5/3,2.12
1,2016/5/4,2.37
1,2016/5/5,2.7
1,2016/5/6,2.9
1,2016/5/7,3.19
1,2016/5/8,3.02
1,2016/5/9,3.53
1,2016/5/10,2.43
1,2016/5/11,2.61
1,2016/5/12,3.46
1,2016/5/13,3.55
1,2016/5/14,2.64
1,2016/5/15,2.89
1,2016/5/16,4.31
1,2016/5/17,2.1
1,2016/5/18,2.52
1,2016/5/19,2.73
1,2016/5/20,2.27
1,2016/5/21,2.67
1,2016/5/22,2.72
1,2016/5/23,3.18
1,2016/5/24,NA
1,2016/5/27,NA
1,2016/6/3,NA
1,2016/6/6,3.81
1,2016/6/7,3.48
1,2016/6/8,4.44
1,2016/6/9,3.1
1,2016/6/10,4.06
1,2016/6/11,3.68
1,2016/6/12,3.47
1,2016/6/13,3.93
1,2016/6/14,5.15
1,2016/6/15,4.38
1,2016/6/16,4.08
1,2016/6/17,7.2
1,2016/6/18,7.62
1,2016/6/19,12.19
1,2016/6/20,13.28
1,2016/6/21,12.15
1,2016/6/22,8.11
1,2016/6/23,17.03
1,2016/6/24,4.91
1,2016/6/25,2.95
1,2016/6/26,3.68
1,2016/6/27,6.61
1,2016/6/28,14.19
1,2016/6/29,9.02
1,2016/6/30,16.67
1,2016/7/1,8.29
1,2016/7/2,13.54
1,2016/7/3,11.99
1,2016/7/4,10.5
1,2016/7/5,4.79
1,2016/7/6,4.17
1,2016/7/7,3.61
1,2016/7/8,8.03
1,2016/7/9,25.16
1,2016/7/10,14.18
1,2016/7/11,10.52
1,2016/7/12,8.44
1,2016/7/13,10.12
1,2016/7/14,4.66
1,2016/7/15,5.84
1,2016/7/16,5.86
1,2016/7/17,15.15
1,2016/7/18,8.69
1,2016/7/19,2.99
1,2016/7/20,6.38
1,2016/7/21,10.3
1,2016/7/22,14.02
1,2016/7/23,9.22
1,2016/7/24,19.14
1,2016/7/25,10.2
1,2016/7/26,13.01
1,2016/7/27,8.5
1,2016/7/28,11.67
1,2016/7/29,17.4
1,2016/7/30,11.98
1,2016/7/31,10.63
1,2016/8/1,11.47
1,2016/8/2,7.31
1,2016/8/3,6.29
1,2016/8/4,11.88
1,2016/8/5,11
1,2016/8/6,10.04
1,2016/8/7,5.83
1,2016/8/8,10.28
1,2016/8/9,7.66
1,2016/8/10,8.9
1,2016/8/11,11.63
1,2016/8/12,10.23
1,2016/8/13,13.26
1,2016/8/14,13.73
1,2016/8/15,13.43
1,2016/8/16,12.94
1,2016/8/17,10.33
1,2016/8/18,9.47
1,2016/8/19,19.82
1,2016/8/20,15.76
1,2016/8/21,13.63
1,2016/8/22,10.34
1,2016/8/23,9.57
1,2016/8/24,14.49
1,2016/8/25,11.7
1,2016/8/26,4.41
1,2016/8/27,3.98
1,2016/8/28,2.11
1,2016/8/29,2.63
1,2016/8/30,1.65
1,2016/8/31,1.61
1,2016/9/2,3.41
1,2016/9/3,1.7
1,2016/9/4,3.04
1,2016/9/5,2.68
1,2016/9/6,2.43
1,2016/9/7,3.18
1,2016/9/8,2.52
1,2016/9/9,2.73
1,2016/9/10,3.24
1,2016/9/11,2.7
1,2016/9/12,3.58
1,2016/9/13,3.03
1,2016/9/14,3.11
1,2016/9/15,2.57
1,2016/9/16,4.44
1,2016/9/17,4.34
1,2016/9/18,3.76
1,2016/9/19,3.22
1,2016/9/20,2.72
1,2016/9/21,2.91
1,2016/9/22,3.17
1,2016/9/23,2.78
1,2016/9/24,2.66
1,2016/9/25,2.98
1,2016/9/26,4.18
1,2016/9/27,3.13
1,2016/9/28,3.06
1,2016/9/29,2.79
1,2016/9/30,3.1
1,2016/10/1,1.98
1,2016/10/2,2.79
1,2016/10/3,1.84
1,2016/10/4,2.22
1,2016/10/5,1.78
1,2016/10/6,1.92
1,2016/10/7,3.66
1,2016/10/8,3.54
1,2016/10/9,2.03
1,2016/10/10,1.89
1,2016/10/11,2.37
1,2016/10/12,2.94
1,2016/10/13,3.14
1,2016/10/14,2.62
1,2016/10/15,1.89
1,2016/10/16,3.82
1,2016/10/17,2.52
1,2016/10/18,2.37
1,2016/10/19,1.83
1,2016/10/20,1.92
1,2016/10/21,2.8
1,2016/10/22,2.11
1,2016/10/23,2.95
1,2016/10/24,3.37
1,2016/10/25,3.14
1,2016/10/26,2.92
1,2016/10/27,2.63
1,2016/10/28,1.9
1,2016/10/29,NA
1,2016/11/4,7.79
1,2016/11/5,19.54
1,2016/11/6,1.86
1,2016/11/7,2.31
1,2016/11/8,1.82
1,2016/11/9,2.17
1,2016/11/10,2.15
1,2016/11/11,1.94
1,2016/11/12,2.29
1,2016/11/13,2.18
1,2016/11/14,2.33
1,2016/11/15,1.7
1,2016/11/16,2.47
1,2016/11/17,1.86
1,2016/11/18,2.19
1,2016/11/19,2.57
1,2016/11/20,2.05
1,2016/11/21,3.24
1,2016/11/22,3.49
1,2016/11/23,1.8
1,2016/11/24,2.77
1,2016/11/25,3.59
1,2016/11/26,3.55
1,2016/11/27,4.27
1,2016/11/28,2.57
1,2016/11/29,2.1
1,2016/11/30,2.4
1,2016/12/1,3.28
1,2016/12/2,2.58
1,2016/12/3,3
1,2016/12/4,3.22
1,2016/12/5,4.01
1,2016/12/6,2.23
1,2016/12/7,2.78
1,2016/12/8,3.66
1,2016/12/9,2.74
1,2016/12/10,2.85
1,2016/12/11,2.26
1,2016/12/12,2.88
1,2016/12/13,3.57
1,2016/12/14,2.94
1,2016/12/15,3.54
1,2016/12/16,3.22
1,2016/12/17,3.14
1,2016/12/18,4.07
1,2016/12/19,4.86
1,2016/12/20,3.19
1,2016/12/21,2.53
1,2016/12/22,3.65
1,2016/12/23,2.64
1,2016/12/24,2.88
1,2016/12/25,3.57
1,2016/12/26,4.5
1,2016/12/27,3.25
1,2016/12/28,1.74
1,2016/12/30,3.44
1,2016/12/31,3.01
1,2017/1/1,3.69
1,2017/1/2,3.54
1,2017/1/3,1.92
1,2017/1/4,2.95
1,2017/1/5,2.59
1,2017/1/6,2.84
1,2017/1/7,2.79
1,2017/1/8,1.86
1,2017/1/9,3.34
1,2017/1/10,3.04
1,2017/1/11,2.19
1,2017/1/12,2.94
1,2017/1/13,4.96
1,2017/1/14,3.73
1,2017/1/15,3.62
1,2017/1/16,3.47
1,2017/1/17,2.74
1,2017/1/18,3.28
1,2017/1/19,3.58
1,2017/1/20,3.59
1,2017/1/21,3.08
1,2017/1/22,1.4
1,2017/1/23,2.65
1,2017/1/24,3.04
1,2017/1/25,3.21
1,2017/1/26,3.72
1,2017/1/27,4.12
1,2017/1/28,2.47
1,2017/1/29,2.37
1,2017/1/30,3.12
1,2017/1/31,2.02
1,2017/2/1,1.74
1,2017/2/2,2.53
1,2017/2/3,3.18
1,2017/2/4,3.29
1,2017/2/5,2.77
1,2017/2/6,3.81
1,2017/2/7,3.62
2,2015/1/1,1.22
2,2015/1/2,0.65
2,2015/1/3,1.14
2,2015/1/4,1.04
2,2015/1/5,1.33
2,2015/1/6,1.02
2,2015/1/7,0.08
2,2015/1/8,0.09
2,2015/1/9,0.09
2,2015/1/10,0.09
2,2015/1/11,0.09
2,2015/1/12,0.85
2,2015/1/13,0.57
2,2015/1/14,0.64
2,2015/1/15,0.79
2,2015/1/16,1
2,2015/1/17,1.55
2,2015/1/18,1.17
2,2015/1/19,1.27
2,2015/1/20,1.06
2,2015/1/21,1.85
2,2015/1/22,2.32
2,2015/1/23,1.68
2,2015/1/24,2.45
2,2015/1/25,2.35
2,2015/1/26,1.66
2,2015/1/27,1.68
2,2015/1/28,3.8
2,2015/1/29,3.39
2,2015/1/30,3.18
2,2015/1/31,1.84
2,2015/2/1,2.19
2,2015/2/2,1.79
2,2015/2/3,2.01
2,2015/2/4,2.38
2,2015/2/5,1.61
2,2015/2/6,2.12
2,2015/2/7,1.32
2,2015/2/8,1.67
2,2015/2/9,2.17
2,2015/2/10,1.24
2,2015/2/11,1.19
2,2015/2/12,1.34
2,2015/2/13,2.19
2,2015/2/14,2.14
2,2015/2/15,2.31
2,2015/2/16,0.74
2,2015/2/17,0.54
2,2015/2/18,0.54
2,2015/2/19,0.53
2,2015/2/20,0.51
2,2015/2/21,0.53
2,2015/2/22,0.51
2,2015/2/23,0.51
2,2015/2/24,0.5
2,2015/2/25,0.52
2,2015/2/26,0.51
2,2015/2/27,0.52
2,2015/2/28,1.03
2,2015/3/1,0.73
2,2015/3/2,0.51
2,2015/3/3,0.51
2,2015/3/4,1.75
2,2015/3/5,1.53
2,2015/3/6,2.16
2,2015/3/7,1.01
2,2015/3/8,1.92
2,2015/3/9,1.26
2,2015/3/10,1.54
2,2015/3/11,3.07
2,2015/3/12,2.28
2,2015/3/13,1.47
2,2015/3/14,2.2
2,2015/3/15,1.9
2,2015/3/16,2
2,2015/3/17,1.65
2,2015/3/18,4.49
2,2015/3/19,1.43
2,2015/3/20,4.84
2,2015/3/21,3.14
2,2015/3/22,3.27
2,2015/3/23,2.32
2,2015/3/24,1.87
2,2015/3/25,2.23
2,2015/3/26,1.81
2,2015/3/27,4.16
2,2015/3/28,2.18
2,2015/3/29,2.06
2,2015/3/30,2.43
2,2015/3/31,2.49
2,2015/4/1,1.27
2,2015/4/2,2.45
2,2015/4/3,1.58
2,2015/4/4,1.18
2,2015/4/5,1.78
2,2015/4/6,2.07
2,2015/4/7,1.73
2,2015/4/8,1.83
2,2015/4/9,1.05
2,2015/4/10,1.8
2,2015/4/11,1.79
2,2015/4/12,1.47
2,2015/4/13,2.52
2,2015/4/14,1
2,2015/4/15,1.84
2,2015/4/16,2.52
2,2015/4/17,1.57
2,2015/4/18,1.77
2,2015/4/19,1.92
2,2015/4/20,0.89
2,2015/4/21,0.89
2,2015/4/22,0.89
2,2015/4/23,1.77
2,2015/4/24,1.2
2,2015/4/25,2.45
2,2015/4/26,1.19
2,2015/4/27,1.55
2,2015/4/28,1.81
2,2015/4/29,1.49
2,2015/4/30,1.5
2,2015/5/1,0.92
2,2015/5/2,0.91
2,2015/5/3,0.9
2,2015/5/4,0.91
2,2015/5/5,0.91
2,2015/5/6,1.4
2,2015/5/7,2.07
2,2015/5/8,2.15
2,2015/5/9,1.49
2,2015/5/10,1.34
2,2015/5/11,1.83
2,2015/5/12,2.32
2,2015/5/13,1.84
2,2015/5/14,1.6
2,2015/5/15,1.92
2,2015/5/21,1.93
2,2015/5/22,1.98
2,2015/5/23,1.25
2,2015/5/24,1.68
2,2015/5/25,1.62
2,2015/5/26,1.74
2,2015/5/27,2.17
2,2015/5/28,1.7
2,2015/5/29,1.74
2,2015/5/30,2.03
2,2015/5/31,1.49
2,2015/6/1,2.26
2,2015/6/2,1.4
2,2015/6/3,1.41
2,2015/6/4,1.57
2,2015/6/5,1.86
2,2015/6/6,1.33
2,2015/6/7,1.55
2,2015/6/8,1.48
2,2015/6/9,1.37
2,2015/6/11,3.18
2,2015/6/12,3.44
2,2015/6/13,2.89
2,2015/6/14,2.1
2,2015/6/15,1.84
2,2015/6/16,2.14
2,2015/6/17,1.89
2,2015/6/18,2.35
2,2015/6/19,1.27
2,2015/6/20,1.49
2,2015/6/21,2.22
2,2015/6/22,3.56
2,2015/6/23,2.2
2,2015/6/24,2.06
2,2015/6/25,3.44
2,2015/6/26,1.88
2,2015/6/27,1.76
2,2015/6/28,1.74
2,2015/6/29,1.17
2,2015/6/30,4.32
2,2015/7/1,5.2
2,2015/7/2,3.84
2,2015/7/3,1.42
2,2015/7/4,1.63
2,2015/7/5,2.29
2,2015/7/6,1.49
2,2015/7/7,2.05
2,2015/7/8,2.67
2,2015/7/9,2.96
2,2015/7/10,2.04
2,2015/7/11,1.08
2,2015/7/12,4.52
2,2015/7/13,6.71
2,2015/7/14,2.66
2,2015/7/15,3.37
2,2015/7/16,3.63
2,2015/7/17,1.44
2,2015/7/18,1.74
2,2015/7/19,2.12
2,2015/7/20,4.73
2,2015/7/21,2.34
2,2015/7/22,4.21
2,2015/7/23,5.52
2,2015/7/24,8.6
2,2015/7/25,5.8
2,2015/7/26,4.98
2,2015/7/27,11.37
2,2015/7/28,9.2
2,2015/7/29,10.13
2,2015/7/30,10.72
2,2015/7/31,15.46
2,2015/8/1,9.31
2,2015/8/2,14.04
2,2015/8/3,6.28
2,2015/8/4,2.3
2,2015/8/5,1.64
2,2015/8/6,2.19
2,2015/8/7,1.46
2,2015/8/8,3.97
2,2015/8/9,2.06
2,2015/8/10,2.51
2,2015/8/11,1.35
2,2015/8/12,2.67
2,2015/8/13,8.08
2,2015/8/14,1.41
2,2015/8/15,1.58
2,2015/8/16,3.23
2,2015/8/17,3.24
2,2015/8/18,4.02
2,2015/8/19,1.31
2,2015/8/20,1.9
2,2015/8/21,1.17
2,2015/8/22,3.94
2,2015/8/23,1.7
2,2015/8/24,1.67
2,2015/8/25,3.03
2,2015/8/26,3.63
2,2015/8/27,2.45
2,2015/8/28,1.34
2,2015/8/29,3.54
2,2015/8/30,3.2
2,2015/8/31,2.79
2,2015/9/1,3.23
2,2015/9/2,1.2
2,2015/9/3,2.92
2,2015/9/4,1.5
2,2015/9/5,2.36
2,2015/9/6,2.63
2,2015/9/7,1.32
2,2015/9/8,1.2
2,2015/9/9,1.26
2,2015/9/10,1.59
2,2015/9/11,1.69
2,2015/9/12,1.41
2,2015/9/13,0.74
2,2015/9/14,0.72
2,2015/9/15,0.72
2,2015/9/16,0.7
2,2015/9/17,1.11
2,2015/9/18,1.35
2,2015/9/19,1.47
2,2015/9/20,1.74
2,2015/9/21,1.38
2,2015/9/22,1.41
2,2015/9/23,1.35
2,2015/9/24,1.17
2,2015/9/25,1.02
2,2015/9/26,1.94
2,2015/9/27,1.27
2,2015/9/28,1.65
2,2015/9/29,2.04
2,2015/9/30,2.14
2,2015/10/1,2.19
2,2015/10/2,1.33
2,2015/10/3,1.2
2,2015/10/4,1.23
2,2015/10/5,1.19
2,2015/10/6,1.33
2,2015/10/7,1.44
2,2015/10/8,1.33
2,2015/10/9,1.16
2,2015/10/10,1.45
2,2015/10/11,1.35
2,2015/10/12,1.15
2,2015/10/13,1.37
2,2015/10/14,1.29
2,2015/10/15,2.13
2,2015/10/16,1.34
2,2015/10/17,1.18
2,2015/10/18,1.49
2,2015/10/19,1.91
2,2015/10/20,3.2
2,2015/10/21,1.59
2,2015/10/22,1.57
2,2015/10/23,1.44
2,2015/10/24,1.92
2,2015/10/25,2.02
2,2015/10/26,2.02
2,2015/10/27,1.16
2,2015/10/28,1.8
2,2015/10/29,1.88
2,2015/10/30,1.43
2,2015/10/31,1.38
2,2015/11/1,2.19
2,2015/11/2,1.52
2,2015/11/3,1.97
2,2015/11/4,2.2
2,2015/11/5,1.27
2,2015/11/6,1.3
2,2015/11/7,1.2
2,2015/11/8,1.8
2,2015/11/9,1.86
2,2015/11/10,1.89
2,2015/11/11,1.74
2,2015/11/12,1.79
2,2015/11/13,1.15
2,2015/11/14,2.83
2,2015/11/15,1.76
2,2015/11/16,1.83
2,2015/11/17,1.77
2,2015/11/18,1.6
2,2015/11/19,1.35
2,2015/11/20,1.7
2,2015/11/21,1.35
2,2015/11/22,2.01
2,2015/11/23,2.14
2,2015/11/24,1.63
2,2015/11/25,1.76
2,2015/11/26,2.1
2,2015/11/27,2.29
2,2015/11/28,1.65
2,2015/11/29,2.53
2,2015/11/30,2.32
2,2015/12/1,1.75
